,pointid,fmmp_class
0,1,G
1,2,G
2,3,G
3,4,G
4,5,G
5,6,G
6,7,G
7,8,G
8,9,G
9,10,G
10,11,G
11,12,G
12,13,G
13,14,G
14,15,G
15,16,G
16,17,G
17,18,G
18,19,G
19,20,G
20,21,G
21,22,G
22,23,G
23,24,G
24,25,G
25,26,G
26,27,G
27,28,G
28,29,G
29,30,G
30,31,G
31,32,G
32,33,G
33,34,G
34,35,G
35,36,G
36,37,G
37,38,G
38,39,G
39,40,G
40,41,G
41,42,G
42,43,G
43,44,G
44,45,G
45,46,G
46,47,G
47,48,G
48,49,G
49,50,G
50,51,G
51,52,G
52,53,G
53,54,G
54,55,G
55,56,G
56,57,G
57,58,G
58,59,G
59,60,G
60,61,G
61,62,G
62,63,G
63,64,G
64,65,G
65,66,G
66,67,G
67,68,G
68,69,G
69,70,G
70,71,G
71,72,G
72,73,G
73,74,G
74,75,G
75,76,G
76,77,G
77,78,G
78,79,G
79,80,G
80,81,G
81,82,G
82,83,G
83,84,G
84,85,G
85,86,G
86,87,G
87,88,G
88,89,G
89,90,G
90,91,G
91,92,G
92,93,G
93,94,G
94,95,G
95,96,G
96,97,G
97,98,G
98,99,G
99,100,G
100,101,G
101,102,G
102,103,G
103,104,G
104,105,G
105,106,G
106,107,G
107,108,G
108,109,G
109,110,G
110,111,G
111,112,G
112,113,G
113,114,G
114,115,G
115,116,G
116,117,G
117,118,G
118,119,G
119,120,G
120,121,G
121,122,G
122,123,G
123,124,G
124,125,G
125,126,G
126,127,G
127,128,G
128,129,G
129,130,G
130,131,G
131,132,G
132,133,G
133,134,G
134,135,G
135,136,G
136,137,G
137,138,G
138,139,G
139,140,G
140,141,G
141,142,G
142,143,G
143,144,G
144,145,G
145,146,G
146,147,G
147,148,G
148,149,G
149,150,G
150,151,G
151,152,G
152,153,G
153,154,G
154,155,G
155,156,G
156,157,G
157,158,G
158,159,G
159,160,G
160,161,G
161,162,G
162,163,G
163,164,G
164,165,G
165,166,G
166,167,G
167,168,G
168,169,G
169,170,G
170,171,G
171,172,G
172,173,G
173,174,G
174,175,G
175,176,G
176,177,G
177,178,G
178,179,G
179,180,G
180,181,G
181,182,G
182,183,G
183,184,G
184,185,G
185,186,G
186,187,G
187,188,G
188,189,G
189,190,G
190,191,G
191,192,G
192,193,G
193,194,G
194,195,G
195,196,G
196,197,G
197,198,G
198,199,G
199,200,G
200,201,G
201,202,G
202,203,G
203,204,G
204,205,G
205,206,G
206,207,G
207,208,G
208,209,G
209,210,G
210,211,G
211,212,G
212,213,G
213,214,G
214,215,G
215,216,G
216,217,G
217,218,G
218,219,G
219,220,G
220,221,G
221,222,G
222,223,G
223,224,G
224,225,G
225,226,G
226,227,G
227,228,G
228,229,G
229,230,G
230,231,G
231,232,G
232,233,G
233,234,G
234,235,G
235,236,G
236,237,G
237,238,G
238,239,G
239,240,G
240,241,G
241,242,G
242,243,G
243,244,G
244,245,G
245,246,G
246,247,G
247,248,G
248,249,G
249,250,G
250,251,G
251,252,G
252,253,G
253,254,G
254,255,G
255,256,G
256,257,G
257,258,G
258,259,G
259,260,G
260,261,G
261,262,G
262,263,G
263,264,G
264,265,G
265,266,G
266,267,G
267,268,G
268,269,G
269,270,G
270,271,G
271,272,G
272,273,G
273,274,G
274,275,G
275,276,G
276,277,G
277,278,G
278,279,G
279,280,G
280,281,G
281,282,G
282,283,G
283,284,G
284,285,G
285,286,G
286,287,G
287,288,G
288,289,G
289,290,G
290,291,G
291,292,G
292,293,G
293,294,G
294,295,G
295,296,G
296,297,G
297,298,G
298,299,G
299,300,G
300,301,G
301,302,G
302,303,G
303,304,G
304,305,G
305,306,G
306,307,G
307,308,G
308,309,G
309,310,G
310,311,G
311,312,G
312,313,G
313,314,G
314,315,G
315,316,G
316,317,G
317,318,G
318,319,G
319,320,G
320,321,G
321,322,G
322,323,G
323,324,G
324,325,G
325,326,G
326,327,G
327,328,G
328,329,G
329,330,G
330,331,G
331,332,G
332,333,G
333,334,G
334,335,G
335,336,G
336,337,G
337,338,G
338,339,G
339,340,G
340,341,G
341,342,G
342,343,G
343,344,G
344,345,G
345,346,G
346,347,G
347,348,G
348,349,G
349,350,G
350,351,G
351,352,G
352,353,G
353,354,G
354,355,G
355,356,G
356,357,G
357,358,G
358,359,G
359,360,G
360,361,G
361,362,G
362,363,G
363,364,G
364,365,G
365,366,G
366,367,G
367,368,G
368,369,G
369,370,G
370,371,G
371,372,G
372,373,G
373,374,G
374,375,G
375,376,G
376,377,G
377,378,G
378,379,G
379,380,G
380,381,G
381,382,G
382,383,G
383,384,G
384,385,G
385,386,G
386,387,G
387,388,G
388,389,G
389,390,G
390,391,G
391,392,G
392,393,G
393,394,G
394,395,G
395,396,G
396,397,G
397,398,G
398,399,G
399,400,G
400,401,G
401,402,G
402,403,G
403,404,G
404,405,G
405,406,G
406,407,G
407,408,G
408,409,G
409,410,G
410,411,G
411,412,G
412,413,G
413,414,G
414,415,G
415,416,G
416,417,G
417,418,G
418,419,G
419,420,G
420,421,G
421,422,G
422,423,G
423,424,G
424,425,G
425,426,G
426,427,G
427,428,G
428,429,G
429,430,G
430,431,G
431,432,G
432,433,G
433,434,G
434,435,G
435,436,G
