,Unnamed: 0,nwi_class,pointid,near_nwi
0,3432821,Riverine,1,379.870660394
1,3432822,Riverine,2,407.101465885
2,3432823,Riverine,3,312.79697596
3,3432824,Riverine,4,340.105620458
4,3432825,Riverine,5,367.833818408
5,3432826,Riverine,6,395.893423615
6,3432827,Riverine,7,245.72785293799998
7,3432828,Riverine,8,273.152086953
8,3432829,Riverine,9,301.068011426
9,3432830,Riverine,10,329.350622288
10,3432831,Riverine,11,357.913002417
11,3432832,Riverine,12,386.69316285199994
12,3432833,Riverine,13,178.66842824
13,3432834,Riverine,14,206.282069379
14,3432835,Riverine,15,234.482786244
15,3432836,Riverine,16,263.081854072
16,3432837,Riverine,17,291.962235297
17,3432838,Riverine,18,321.048020921
18,3432839,Riverine,19,350.28804809
19,3432840,Riverine,20,379.646679864
20,3432841,Riverine,21,111.636180472
21,3432842,Riverine,22,139.615621217
22,3432843,Riverine,23,168.292621898
23,3432844,Riverine,24,197.363348884
24,3432845,Riverine,25,226.676369258
25,3432846,Riverine,26,256.148514104
26,3432847,Riverine,27,285.730548201
27,3432848,Riverine,28,315.391551999
28,3432849,Riverine,29,345.11116465599997
29,3432850,Riverine,30,374.875447139
30,3240329,Freshwater Emergent Wetland,31,65.2342375983
31,3240330,Freshwater Emergent Wetland,32,35.2346436169
32,3240331,Freshwater Emergent Wetland,33,127.469212767
33,3240332,Freshwater Emergent Wetland,34,97.6049691468
34,3240333,Freshwater Emergent Wetland,35,67.7723451593
35,3240334,Freshwater Emergent Wetland,36,38.1775913554
36,3429745,Riverine,37,185.52236862200002
37,3429746,Riverine,38,156.082642822
38,3429747,Riverine,39,126.895615756
39,3429748,Riverine,40,98.0863054032
40,3429749,Riverine,41,69.3789610695
41,3429750,Riverine,42,41.3133897496
42,3429751,Riverine,43,242.561667179
43,3429752,Riverine,44,212.56490213700002
44,3429753,Riverine,45,182.569200185
45,3429754,Riverine,46,152.575188324
46,3429755,Riverine,47,122.584107158
47,3429756,Riverine,48,92.59880433110001
48,3429757,Riverine,49,62.6274420521
49,3429758,Riverine,50,32.696363635
50,4373148,Riverine,51,194.162141508
51,4373149,Riverine,52,218.11986852200002
52,4373150,Riverine,53,242.97740479400002
53,3429759,Riverine,54,213.10561949599997
54,3429760,Riverine,55,183.20461728400002
55,3429761,Riverine,56,153.341565654
56,3429762,Riverine,57,123.543349221
57,3429763,Riverine,58,93.8698587064
58,3429764,Riverine,59,64.4859797715
59,3429765,Riverine,60,35.8513083831
60,4373151,Riverine,61,128.142516939
61,4373152,Riverine,62,152.200388237
62,4373153,Riverine,63,176.313333387
63,4373154,Riverine,64,201.85342129900002
64,4373155,Riverine,65,228.456067525
65,3429766,Riverine,66,217.406097201
66,3429767,Riverine,67,188.179120248
67,3429768,Riverine,68,159.234709864
68,3429769,Riverine,69,130.717033721
69,3429770,Riverine,70,102.32761236200001
70,3429771,Riverine,71,74.3317643296
71,3429772,Riverine,72,47.5386885198
72,4373156,Riverine,73,62.8222605586
73,4373157,Riverine,74,86.0694791048
74,4373158,Riverine,75,110.133822693
75,4373159,Riverine,76,134.894425447
76,4373160,Riverine,77,161.379552877
77,4373161,Riverine,78,188.383884366
78,4373162,Riverine,79,215.828889106
79,3429773,Riverine,80,225.582759058
80,3429774,Riverine,81,197.193337699
81,3429775,Riverine,82,168.952536629
82,3429776,Riverine,83,141.393824134
83,3429777,Riverine,84,113.990849147
84,3429778,Riverine,85,85.1961003374
85,3429779,Riverine,86,55.513135544099995
86,4373163,Riverine,87,18.287313800299998
87,4373164,Riverine,88,0.0
88,4373165,Riverine,89,20.540274272
89,4373166,Riverine,90,44.188353396400004
90,4373167,Riverine,91,68.1533440562
91,4373168,Riverine,92,94.3030382269
92,4373169,Riverine,93,121.316685769
93,4373170,Riverine,94,149.03476014
94,4373171,Riverine,95,177.466830878
95,4373172,Riverine,96,206.34167748599998
96,3429780,Riverine,97,232.679245531
97,3429781,Riverine,98,202.679716545
98,3429782,Riverine,99,172.68018756
99,3429783,Riverine,100,142.680658574
100,3429784,Riverine,101,112.68112958799999
101,3429785,Riverine,102,82.6816006024
102,3429786,Riverine,103,52.6820716167
103,3240362,Freshwater Emergent Wetland,104,32.415399468000004
104,3240363,Freshwater Emergent Wetland,105,46.115068681400004
105,4373173,Riverine,106,37.7262174806
106,4373174,Riverine,107,15.68835773
107,4373175,Riverine,108,2.21041484861
108,4373176,Riverine,109,27.226523578000002
109,4373177,Riverine,110,54.2861732262
110,4373178,Riverine,111,82.6618565255
111,4373179,Riverine,112,111.862942477
112,4373180,Riverine,113,141.22113623
113,4373181,Riverine,114,170.597840055
114,4373182,Riverine,115,200.126077323
115,4373183,Riverine,116,229.772814823
116,3429787,Riverine,117,204.25963999599998
117,3429788,Riverine,118,174.530409355
118,3429789,Riverine,119,144.910589531
119,3429790,Riverine,120,115.482291525
120,3429791,Riverine,121,86.4348559977
121,3429792,Riverine,122,58.3123505339
122,3240364,Freshwater Emergent Wetland,123,5.75865061138
123,3240365,Freshwater Emergent Wetland,124,1.12377053346
124,3240366,Freshwater Emergent Wetland,125,5.87047113388
125,3240367,Freshwater Emergent Wetland,126,22.300118093600002
126,3240368,Freshwater Emergent Wetland,127,42.5969280618
127,4373184,Riverine,128,33.8196478243
128,4373185,Riverine,129,5.6974212482
129,4373186,Riverine,130,17.6447881628
130,4373187,Riverine,131,47.4500384722
131,4373188,Riverine,132,77.2900852342
132,4373189,Riverine,133,107.130131996
133,4373190,Riverine,134,136.978223555
134,4373191,Riverine,135,166.871912639
135,4373192,Riverine,136,196.782124267
136,4373193,Riverine,137,226.69233589599997
137,3429793,Riverine,138,205.299258246
138,3429794,Riverine,139,176.58393301599997
139,3429795,Riverine,140,147.868607786
140,3429796,Riverine,141,119.153282555
141,3429797,Riverine,142,90.4379573254
142,3429798,Riverine,143,62.2634236857
143,3240369,Freshwater Emergent Wetland,144,71.3582570028
144,3240370,Freshwater Emergent Wetland,145,47.8503213464
145,3240371,Freshwater Emergent Wetland,146,34.9835943914
146,3240372,Freshwater Emergent Wetland,147,28.685192305500003
147,3240373,Freshwater Emergent Wetland,148,14.1069626602
148,3240374,Freshwater Emergent Wetland,149,0.24268658667800005
149,3240375,Freshwater Emergent Wetland,150,24.2138532279
150,4373194,Riverine,151,38.4575753803
151,4373195,Riverine,152,8.465347925169999
152,4373196,Riverine,153,15.4778873376
153,4373197,Riverine,154,45.4701163417
154,4373198,Riverine,155,75.4623453459
155,4373199,Riverine,156,105.45457435
156,4373200,Riverine,157,135.446803354
157,4373201,Riverine,158,165.439032358
158,4373202,Riverine,159,195.201869077
159,3237061,Freshwater Emergent Wetland,160,211.42452163
160,3429799,Riverine,161,197.739492843
161,3429800,Riverine,162,168.355616185
162,3429801,Riverine,163,139.232931669
163,3429802,Riverine,164,110.468232358
164,3429803,Riverine,165,81.7529071275
165,3429804,Riverine,166,53.037581897399996
166,4373203,Riverine,167,117.51925976700001
167,3240376,Freshwater Emergent Wetland,168,112.923130247
168,3240377,Freshwater Emergent Wetland,169,90.2459524088
169,3240378,Freshwater Emergent Wetland,170,72.8395546224
170,3240379,Freshwater Emergent Wetland,171,64.8882762998
171,3240380,Freshwater Emergent Wetland,172,55.2163528796
172,3240381,Freshwater Emergent Wetland,173,36.0272260125
173,3240382,Freshwater Emergent Wetland,174,10.164190184
174,3240383,Freshwater Emergent Wetland,175,11.1840143732
175,4373204,Riverine,176,39.4659635418
176,4373205,Riverine,177,9.79375596964
177,4373206,Riverine,178,13.6886291045
178,4373207,Riverine,179,42.4676079897
179,4373208,Riverine,180,71.5704914033
180,4373209,Riverine,181,101.11344047700001
181,4373210,Riverine,182,130.67510275700002
182,4373211,Riverine,183,160.238318682
183,3237062,Freshwater Emergent Wetland,184,175.98320324
184,3237063,Freshwater Emergent Wetland,185,182.59538208799998
185,3237064,Freshwater Emergent Wetland,186,193.611627935
186,3429805,Riverine,187,164.141189402
187,3429806,Riverine,188,134.277144354
188,3429807,Riverine,189,104.413099306
189,3429808,Riverine,190,74.5493138252
190,3429809,Riverine,191,44.7889498126
191,4373212,Riverine,192,50.5917892038
192,4373213,Riverine,193,79.0968729141
193,4373214,Riverine,194,96.1395813636
194,4373215,Riverine,195,106.103208708
195,3240384,Freshwater Emergent Wetland,196,113.87874207600001
196,3240385,Freshwater Emergent Wetland,197,100.525941861
197,3240386,Freshwater Emergent Wetland,198,94.8513404783
198,3240387,Freshwater Emergent Wetland,199,73.7938520472
199,3240388,Freshwater Emergent Wetland,200,44.26674431
200,3240389,Freshwater Emergent Wetland,201,14.778926656900001
201,3240390,Freshwater Emergent Wetland,202,8.6474089579
