,Unnamed: 0,pointid,LC2001,LC2014
0,0,1,Grassland,Grassland
1,1,2,Grassland,Grassland
2,2,3,Grassland,Grassland
3,3,4,Grassland,Grassland
4,4,5,Grassland,Grassland
5,5,6,Grassland,Grassland
6,6,7,Grassland,Grassland
7,7,8,Grassland,Grassland
8,8,9,Grassland,Grassland
9,9,10,Grassland,Grassland
10,10,11,Grassland,Grassland
11,11,12,Grassland,Grassland
12,12,13,Grassland,Grassland
13,13,14,Grassland,Grassland
14,14,15,Grassland,Grassland
15,15,16,Grassland,Grassland
16,16,17,Grassland,Grassland
17,17,18,Grassland,Grassland
18,18,19,Grassland,Grassland
19,19,20,Grassland,Grassland
20,20,21,Grassland,Grassland
21,21,22,Grassland,Grassland
22,22,23,Grassland,Grassland
23,23,24,Grassland,Grassland
24,24,25,Grassland,Grassland
25,25,26,Grassland,Grassland
26,26,27,Grassland,Grassland
27,27,28,Grassland,Grassland
28,28,29,Grassland,Grassland
29,29,30,Grassland,Grassland
30,30,31,Grassland,Grassland
31,31,32,Grassland,Grassland
32,32,33,Grassland,Grassland
33,33,34,Grassland,Grassland
34,34,35,Grassland,Grassland
35,35,36,Grassland,Grassland
36,36,37,Grassland,Grassland
37,37,38,Grassland,Grassland
38,38,39,Grassland,Grassland
39,39,40,Grassland,Grassland
40,40,41,Grassland,Grassland
41,41,42,Grassland,Grassland
42,42,43,Grassland,Grassland
43,43,44,Grassland,Grassland
44,44,45,Grassland,Grassland
45,45,46,Grassland,Grassland
46,46,47,Grassland,Grassland
47,47,48,Grassland,Grassland
48,48,49,Grassland,Grassland
49,49,50,Grassland,Grassland
50,50,51,Grassland,Grassland
51,51,52,Grassland,Grassland
52,52,53,Grassland,Grassland
53,53,54,Grassland,Grassland
54,54,55,Grassland,Grassland
55,55,56,Grassland,Grassland
56,56,57,Grassland,Grassland
57,57,58,Grassland,Grassland
58,58,59,Grassland,Grassland
59,59,60,Grassland,Grassland
60,60,61,Grassland,Grassland
61,61,62,Grassland,Grassland
